image,score,confidence,reason
2026-03-19/2026-03-19_1333.jpg,41.63,0.7037,illegal_1
2026-03-20/2026-03-20_0920.jpg,29.63,0.7037,low_confidence
2026-03-19/2026-03-19_1443.jpg,41.62,0.7038,illegal_1
2026-03-06/2026-03-06_1113.jpg,29.61,0.7039,low_confidence
2026-03-02/2026-03-02_1102.jpg,45.60,0.7040,illegal_3
2026-03-20/2026-03-20_1040.jpg,29.59,0.7041,low_confidence
2026-03-26/2026-03-26_1022.jpg,43.57,0.7043,illegal_2
2026-03-04/2026-03-04_0951.jpg,29.54,0.7046,low_confidence
2026-03-02/2026-03-02_1142.jpg,45.52,0.7048,illegal_3
2026-02-27/2026-02-27_1021.jpg,29.52,0.7048,low_confidence
2026-03-26/2026-03-26_1002.jpg,45.51,0.7049,illegal_3
2026-03-02/2026-03-02_1243.jpg,45.50,0.7050,illegal_3
2026-02-27/2026-02-27_1111.jpg,41.49,0.7051,illegal_1
2026-03-02/2026-03-02_0932.jpg,29.49,0.7051,low_confidence
2026-03-26/2026-03-26_1332.jpg,43.48,0.7052,illegal_2
2026-03-19/2026-03-19_0943.jpg,29.45,0.7055,low_confidence
2026-03-10/2026-03-10_1049.jpg,43.43,0.7057,illegal_2
2026-03-18/2026-03-18_0945.jpg,43.41,0.7059,illegal_2
2026-03-20/2026-03-20_0940.jpg,29.39,0.7061,low_confidence
2026-03-26/2026-03-26_1012.jpg,43.38,0.7062,illegal_2
2026-03-19/2026-03-19_1113.jpg,41.37,0.7063,illegal_1
2026-03-24/2026-03-24_0918.jpg,41.37,0.7063,illegal_1
2026-03-09/2026-03-09_1229.jpg,47.36,0.7064,illegal_4
2026-03-05/2026-03-05_1232.jpg,43.31,0.7069,illegal_2
2026-03-18/2026-03-18_1015.jpg,41.31,0.7069,illegal_1
2026-03-19/2026-03-19_1353.jpg,41.31,0.7069,illegal_1
2026-03-11/2026-03-11_1132.jpg,43.29,0.7071,illegal_2
2026-03-18/2026-03-18_0925.jpg,41.28,0.7072,illegal_1
2026-03-10/2026-03-10_1400.jpg,29.26,0.7074,low_confidence
2026-02-26/2026-02-26_0919.jpg,41.25,0.7075,illegal_1
2026-03-24/2026-03-24_1218.jpg,45.23,0.7077,illegal_3
2026-03-19/2026-03-19_1253.jpg,41.22,0.7078,illegal_1
2026-02-27/2026-02-27_1121.jpg,29.19,0.7081,low_confidence
2026-03-03/2026-03-03_1034.jpg,43.16,0.7084,illegal_2
2026-03-25/2026-03-25_1113.jpg,41.14,0.7086,illegal_1
2026-03-19/2026-03-19_0923.jpg,29.13,0.7087,low_confidence
2026-03-19/2026-03-19_1223.jpg,41.12,0.7088,illegal_1
2026-03-09/2026-03-09_1009.jpg,45.11,0.7089,illegal_3
2026-03-03/2026-03-03_0934.jpg,41.11,0.7089,illegal_1
2026-03-11/2026-03-11_1352.jpg,41.10,0.7090,illegal_1
2026-03-19/2026-03-19_1233.jpg,41.10,0.7090,illegal_1
2026-03-06/2026-03-06_1804.jpg,29.10,0.7090,low_confidence
2026-03-24/2026-03-24_1138.jpg,43.08,0.7092,illegal_2
2026-03-05/2026-03-05_1352.jpg,47.06,0.7094,illegal_4
2026-03-09/2026-03-09_1149.jpg,47.06,0.7094,illegal_4
2026-03-05/2026-03-05_1142.jpg,43.03,0.7097,illegal_2
2026-03-24/2026-03-24_1058.jpg,45.00,0.7100,illegal_3
2026-03-05/2026-03-05_0932.jpg,40.97,0.7103,illegal_1
